service_id,date,exception_type
DEC24-D02CAR-1_Weekday-SANTHS1,20250422,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250423,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250423,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250423,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250423,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250424,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250424,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250424,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250424,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250424,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250424,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250425,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250425,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250425,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250425,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250428,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250428,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250428,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250428,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250429,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250429,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250429,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250429,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250430,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250430,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250430,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250430,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250501,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250501,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250501,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250501,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250502,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250502,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250502,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250502,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250505,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250505,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250505,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250505,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250506,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250506,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250506,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250506,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250507,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250507,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250507,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250507,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250508,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250508,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250508,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250508,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250509,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250509,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250509,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250509,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250512,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250512,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250512,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250512,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250513,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250513,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250513,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250513,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250514,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250514,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250514,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250514,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250515,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250515,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250515,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250515,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250516,2
